Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.042,0.0,0.0,0.0,0.0
2,00:00:00.083,0.0,0.0,0.0,0.0
3,00:00:00.125,0.0,0.0,0.0,0.0
4,00:00:00.167,0.0,0.0,0.0,0.0
5,00:00:00.209,0.0,0.0,0.0,0.0
6,00:00:00.250,0.0,0.0,0.0,0.0
7,00:00:00.292,0.0,0.0,0.0,0.0
8,00:00:00.334,0.0,0.0,0.0,0.0
9,00:00:00.375,0.0,0.0,0.0,0.0
10,00:00:00.417,0.0,0.0,0.0,0.0
11,00:00:00.459,0.0,0.0,0.0,0.0
12,00:00:00.500,0.3333333333333333,0.0,1.0,0.0
13,00:00:00.542,4.8695248538011695,0.7095394736842106,0.6529824561403509,13.246052631578948
14,00:00:00.584,11.864144736842105,18.273377192982455,1.2566447368421052,16.062412280701754
15,00:00:00.626,6.670964912280702,12.75482456140351,1.25,6.008070175438596
16,00:00:00.667,4.126798245614036,3.837083333333333,1.403421052631579,7.139890350877193
17,00:00:00.709,4.896388888888889,4.61390350877193,1.892280701754386,8.182982456140351
18,00:00:00.751,3.715233918128655,2.6119298245614035,2.0293201754385963,6.504451754385965
19,00:00:00.792,4.056527777777778,3.5793859649122806,1.9428070175438596,6.647390350877193
20,00:00:00.834,5.004656432748538,4.98390350877193,2.342763157894737,7.687302631578947
21,00:00:00.876,3.873845029239766,3.354802631578947,2.709824561403509,5.556907894736842
22,00:00:00.918,4.191695906432749,4.057127192982456,2.5039912280701753,6.013969298245614
23,00:00:00.959,5.819919590643274,6.9491228070175435,3.124078947368421,7.3865570175438595
24,00:00:01.001,4.225913742690058,4.1837061403508775,3.0198026315789472,5.474232456140351
25,00:00:01.043,8.783070175438597,13.095109649122808,3.311315789473684,9.942785087719297
26,00:00:01.084,5.237682748538012,6.4291447368421055,3.1140350877192984,6.169868421052632
27,00:00:01.126,48.78434941520467,91.48855263157894,4.856337719298246,50.00815789473684
28,00:00:01.168,9.282624269005847,13.498991228070176,3.8585087719298246,10.490372807017543
29,00:00:01.210,7.068296783625731,6.90813596491228,4.559868421052632,9.73688596491228
30,00:00:01.251,7.764459064327486,7.56280701754386,4.693793859649123,11.036776315789474
31,00:00:01.293,6.3610964912280705,6.563201754385965,4.720811403508772,7.799276315789474
32,00:00:01.335,7.476096491228071,7.809956140350877,5.230438596491228,9.387894736842105
33,00:00:01.376,7.6583114035087725,6.33,5.767456140350877,10.877478070175439
34,00:00:01.418,6.7183040935672516,6.803618421052631,5.29765350877193,8.053640350877194
35,00:00:01.460,5.923428362573099,6.701732456140351,4.337719298245614,6.730833333333333
36,00:00:01.501,6.407200292397661,7.5226535087719295,4.394122807017544,7.3048245614035086
37,00:00:01.543,6.077902046783625,7.3630701754385965,4.361140350877193,6.509495614035088
38,00:00:01.585,6.359824561403509,7.533355263157895,4.384692982456141,7.161425438596491
39,00:00:01.627,6.384093567251462,7.651008771929825,4.369364035087719,7.131907894736842
40,00:00:01.668,6.684773391812865,8.014276315789473,4.308728070175438,7.731315789473684
41,00:00:01.710,6.765709064327485,8.455657894736841,4.267236842105263,7.574232456140351
42,00:00:01.752,6.7924342105263165,8.384649122807017,4.2693859649122805,7.723267543859649
43,00:00:01.793,7.9213961988304105,10.200504385964912,4.486425438596491,9.077258771929825
44,00:00:01.835,6.543691520467836,8.043399122807017,3.9993640350877193,7.588311403508772
45,00:00:01.877,6.879948830409357,8.741008771929824,3.9569736842105265,7.941864035087719
46,00:00:01.919,6.568786549707602,8.101666666666667,3.898969298245614,7.705723684210526
47,00:00:01.960,6.764429824561404,8.422763157894737,3.9065570175438595,7.963969298245614
48,00:00:02.002,7.3381432748538025,9.52013157894737,3.9228947368421054,8.57140350877193
49,00:00:02.044,6.200021929824562,7.508135964912281,3.654407894736842,7.437521929824562
50,00:00:02.085,6.5842616959064335,8.589561403508771,3.573201754385965,7.5900219298245615
51,00:00:02.127,5.873764619883041,7.824100877192983,3.2481798245614035,6.549013157894737
52,00:00:02.169,7.111447368421054,9.543311403508772,3.5984429824561404,8.192587719298245
53,00:00:02.211,6.516469298245615,8.718991228070175,3.4690570175438595,7.361359649122807
54,00:00:02.252,6.005175438596492,6.994539473684211,3.4606359649122806,7.560350877192983
55,00:00:02.294,7.141191520467836,9.17359649122807,3.654078947368421,8.595899122807017
56,00:00:02.336,5.42984649122807,6.072236842105263,3.3849780701754386,6.832324561403508
57,00:00:02.377,5.651388888888889,6.387741228070175,3.434890350877193,7.131535087719298
58,00:00:02.419,5.958720760233919,6.926644736842105,3.583311403508772,7.366206140350878
59,00:00:02.461,5.277463450292397,5.796951754385965,3.327017543859649,6.708421052631579
60,00:00:02.502,5.623654970760234,6.516030701754386,3.2368201754385963,7.11811403508772
61,00:00:02.544,4.846461988304093,5.447828947368421,2.9261184210526316,6.165438596491228
62,00:00:02.586,4.650051169590643,5.153662280701754,2.829276315789474,5.967214912280702
63,00:00:02.628,5.2267324561403505,6.110679824561403,2.7782894736842105,6.791228070175438
64,00:00:02.669,4.443742690058479,4.827916666666667,2.7179166666666665,5.785394736842106
65,00:00:02.711,4.674824561403509,5.2675,2.612763157894737,6.144210526315789
66,00:00:02.753,4.578362573099415,5.37640350877193,2.5176754385964912,5.8410087719298245
67,00:00:02.794,4.002880116959065,4.443771929824561,2.4176973684210528,5.147171052631579
68,00:00:02.836,3.9333114035087724,4.232434210526316,2.353311403508772,5.214188596491228
69,00:00:02.878,4.261893274853801,4.630372807017544,2.4268859649122807,5.728421052631579
70,00:00:02.920,3.5400950292397666,3.6590570175438595,2.253969298245614,4.7072587719298244
71,00:00:02.961,3.853011695906433,4.051732456140351,2.2077850877192984,5.299517543859649
72,00:00:03.003,4.094020467836256,4.647390350877193,2.1662719298245614,5.468399122807018
73,00:00:03.045,3.3139254385964914,3.4013815789473685,2.078421052631579,4.461973684210526
74,00:00:03.086,3.6555774853801175,4.009714912280701,2.023486842105263,4.933530701754386
75,00:00:03.128,4.361498538011696,5.371425438596491,2.0912719298245612,5.621798245614035
76,00:00:03.170,2.941922514619883,2.865635964912281,1.885109649122807,4.075021929824562
77,00:00:03.212,3.7404459064327487,3.955438596491228,2.0478947368421054,5.218004385964912
78,00:00:03.253,3.8421271929824563,4.025657894736842,2.119780701754386,5.3809429824561406
79,00:00:03.295,3.3455116959064326,3.3615570175438596,2.0031359649122806,4.671842105263158
80,00:00:03.337,3.9202046783625732,4.167938596491228,2.19280701754386,5.3998684210526315
81,00:00:03.378,4.056505847953216,4.5119298245614035,2.2319736842105264,5.425614035087719
82,00:00:03.420,3.555226608187134,3.7035745614035087,2.090767543859649,4.871337719298245
83,00:00:03.462,4.292317251461989,4.910723684210526,2.230592105263158,5.735635964912281
84,00:00:03.503,3.578881578947368,3.619517543859649,2.146732456140351,4.970394736842105
85,00:00:03.545,4.053545321637427,4.479714912280702,2.1939912280701757,5.486929824561403
86,00:00:03.587,4.378574561403508,4.951491228070175,2.1901973684210527,5.994035087719298
87,00:00:03.629,3.4479239766081875,3.529736842105263,2.045328947368421,4.7687061403508775
88,00:00:03.670,3.983494152046784,4.169583333333334,2.147236842105263,5.6336622807017545
89,00:00:03.712,4.4870833333333335,5.202763157894736,2.2441447368421055,6.014342105263158
90,00:00:03.754,3.929459064327485,4.2225438596491225,2.1653070175438596,5.400526315789474
91,00:00:03.795,4.623172514619884,5.234890350877193,2.3573464912280704,6.277280701754386
92,00:00:03.837,4.776644736842106,5.720899122807017,2.3835087719298245,6.225526315789474
93,00:00:03.879,4.116805555555556,4.519912280701754,2.2542982456140352,5.576206140350878
94,00:00:03.921,4.9600877192982455,5.971074561403508,2.288859649122807,6.620328947368421
95,00:00:03.962,4.400138888888889,5.016337719298246,2.1615131578947366,6.022565789473684
96,00:00:04.004,4.150994152046784,4.589122807017544,2.114078947368421,5.749780701754386
97,00:00:04.046,4.7342032163742696,5.676754385964912,2.274013157894737,6.251842105263158
98,00:00:04.087,3.968684210526316,4.433881578947369,2.1063377192982458,5.365833333333334
99,00:00:04.129,74.40627192982457,95.38006578947369,68.50315789473684,59.33559210526316
100,00:00:04.171,7.557288011695906,5.749649122807018,7.062741228070175,9.859473684210526
